Masked_User_Id,1_11Score,1_12Score,2_14Score,2_15Score,3_17Score,3_18Score,1_11Grade,1_12Grade,2_14Grade,2_15Grade,3_17Grade,3_18Grade,Term,Repetitions,Dropped
stu331,6,0,8,,8,3,2.55,3.6,2.6,,3.15,4,201408,0,NO
stu336,1,7,,5,5,11,2.35,2.55,,1.3,1.5,2.9,201408,0,YES
stu337,-2,-2,4,1,3,0,1.15,1.05,2,2.35,1.75,0,201408,0,NO
stu342,2,2,3,3,1,5,2.4,2.95,2.9,3.55,3.1,3.7,201408,0,NO
stu345,,,,,,,,,,,,,201408,0,NO
stu348,2,6,5,7,-4,1,1.4,3.6,2.1,3.8,3.35,3.6,201408,0,NO
dstu24,,,,,,,,,,,,,201408,2,YES
stu354,6,0,10,2,5,-2,2.15,1.6,2.2,2.4,2.75,2.8,201408,0,NO
stu356,11,1,6,5,18,5,1.55,2.65,2.25,3.4,2.45,3.3,201408,0,NO
stu357,2,4,3,4,,,0,4,0,3.8,,,201408,0,YES
stu359,6,-1,5,3,5,-2,3.4,2.5,2.05,3.15,2.1,2.55,201408,0,NO
dstu25,,,,,,,,,,,,,201408,2,YES
stu365,2,4,4,2,2,2,2.9,3.35,3.15,3.25,3.1,3.1,201408,0,NO
stu367,0,1,-1,1,3,1,2.95,3.6,2.65,3.8,3,3.5,201408,0,NO
stu372,-2,0,0,0,0,0,2.6,3.7,2.25,3.5,3,3.55,201408,0,NO
stu373,7,2,7,8,6,5,3.95,3.55,2.75,3.55,3.15,3.85,201408,0,NO
stu375,0,-3,1,3,-1,1,2.9,2.4,2.5,2.5,2.5,2.65,201408,0,YES
stu376,4,1,1,0,3,0,2.85,3.85,2.95,3.7,2.55,3.5,201408,0,NO
stu378,-1,0,1,-2,2,-2,2.5,2.5,2.15,2.15,1.75,1.75,201408,0,NO
stu381,5,5,5,4,9,2,2.25,2.45,1.55,2.1,1.9,2.2,201408,0,NO
stu384,2,-1,1,0,1,2,2.45,2.8,1.65,1.85,2,2.35,201408,0,NO
stu389,,,,,0,,,,,,2.6,,201408,0,YES
stu393,5,1,5,0,2,1,3.65,3.95,3.55,4,3.75,3.95,201408,0,NO
